packet_length,protocol_encoding,source_ip_event_rate,destination_port_class,threat_score,malicious_flag_ratio,attack_type_frequency,time_of_day_deviation,burst_rate,packet_size_variance,honeypot_interaction_count,session_duration_estimate,unique_destination_count,rolling_average_deviation,z_score_anomaly,label
420,1,1.0,2,0.183,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
288,2,1.0,2,0.1905,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
142,1,1.0,2,0.2872,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
134,1,1.0,2,0.2443,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
211,1,1.0,1,0.199,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
388,1,1.0,1,0.2748,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
1506,1,1.0,2,0.4621,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
334,1,1.0,2,0.4708,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
94,1,1.0,2,0.1867,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
68,1,1.0,2,0.246,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
306,2,1.0,2,0.2382,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
400,1,1.0,2,0.1467,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
400,1,2.0,1,0.5198,1.0,2,0,2.0,2178.0,2,196.0,2,33.0,0.7071067811865476,1
396,1,1.0,2,0.1447,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
93,1,1.0,2,0.451,1.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,1
452,1,1.0,1,0.0178,0.0,1,1,1.0,0.0,1,0.0,1,0.0,0.0,0
159,1,1.0,2,0.0923,0.0,2,1,1.0,28084.5,2,419077.0,1,-118.5,-0.7071067811865476,0
356,1,1.0,2,0.0518,0.0,1,0,1.0,0.0,1,0.0,1,0.0,0.0,0
